
[사용자 활동]
날짜,DAU (활성 사용자),방문자 수
2026-03-01,33,93
2026-03-08,64,187
2026-03-15,105,252
2026-03-22,123,279
2026-03-29,150,322
2026-04-05,218,398
2026-04-12,259,475
2026-04-19,215,408
2026-04-26,146,275
2026-05-03,223,356
2026-05-10,362,575
2026-05-17,349,545
2026-05-24,354,556
2026-05-31,454,690
2026-06-07,332,571
2026-06-14,258,521

요약
최근 DAU,266
평균 DAU,227
집계 기준,week

[모델 사용량]
날짜,요청 수,토큰 수,생성 수,크레딧,평균 TTFT (ms),평균 완료시간 (ms)
2026-03-01,6864,82033603.0,279,208740.95,6342.5,15499.2
2026-03-08,14762,218967705.0,476,616316.2,7260.8,16275.8
2026-03-15,19257,313548376.0,624,755314.56,9334.4,20012.8
2026-03-22,23499,486455141.0,986,977441.06,9058.4,19778.2
2026-03-29,55675,644225597.0,1213,1490593.22,11461.3,24512.3
2026-04-05,85229,592026442.0,913,1571779.78,11006.3,22408.3
2026-04-12,48305,669061340.0,1138,1888694.35,12400.5,25204.7
2026-04-19,27607,652431579.0,1170,1863568.16,12432.3,26080.1
2026-04-26,18958,465810698.0,1166,1484887.28,13110.1,27531.9
2026-05-03,21485,548935777.0,1191,1889592.35,14849.7,31900.6
2026-05-10,24979,611869333.0,1130,2003212.87,14196.7,30507.2
2026-05-17,26094,592771107.0,1403,1989515.4,15545.4,34039.1
2026-05-24,23471,588907833.0,1224,1801973.25,14064.2,31760.6
2026-05-31,36510,795995833.0,1340,2609861.05,15099.7,35066.4
2026-06-07,37715,1101624871.0,1296,3283218.78,14807.2,34787.7
2026-06-14,9537,323513238.0,511,987096.6,12522.5,32247.3

합계 / 평균,479947,8688178473.0,16060,25421805.86,12438.1,27232.4
집계 기준,week
