
[사용자 활동]
날짜,DAU (활성 사용자),방문자 수
2026-05-01,91,200
2026-05-02,122,208
2026-05-03,207,323
2026-05-04,385,555
2026-05-05,193,294
2026-05-06,208,348
2026-05-07,162,293
2026-05-08,296,476
2026-05-09,113,204
2026-05-10,664,951
2026-05-11,686,1020
2026-05-12,212,366
2026-05-13,211,380
2026-05-14,187,352
2026-05-15,314,527
2026-05-16,261,431
2026-05-17,447,676
2026-05-18,672,980
2026-05-19,201,353
2026-05-20,228,381
2026-05-21,482,738
2026-05-22,147,261
2026-05-23,268,428
2026-05-24,381,596
2026-05-25,244,396
2026-05-26,653,986
2026-05-27,145,260
2026-05-28,407,615
2026-05-29,280,442
2026-05-30,369,594
2026-05-31,630,954
2026-06-01,704,1002
2026-06-02,524,739
2026-06-03,291,448
2026-06-04,196,361
2026-06-05,403,659
2026-06-06,431,666
2026-06-07,705,1058
2026-06-08,294,513
2026-06-09,262,496
2026-06-10,390,613
2026-06-11,255,494
2026-06-12,230,437
2026-06-13,191,385
2026-06-14,250,498
2026-06-15,266,544
2026-06-16,273,500
2026-06-17,233,435
2026-06-18,147,344
2026-06-19,126,262
2026-06-20,127,266
2026-06-21,163,327
2026-06-22,98,236

요약
최근 DAU,98
평균 DAU,310
집계 기준,day

[모델 사용량]
날짜,요청 수,토큰 수,생성 수,크레딧,평균 TTFT (ms),평균 완료시간 (ms)
2026-05-01,1774,42009205.0,84,149489.78,14385.8,30172.7
2026-05-02,1665,38844287.0,81,126319.0,12425.3,28403.3
2026-05-03,2499,61277159.0,163,227846.59,13483.8,30275.3
2026-05-04,3823,84944689.0,197,291464.58,14871.6,30237.8
2026-05-05,2466,63339573.0,102,213119.13,14271.9,32514.5
2026-05-06,4181,114311503.0,188,389740.9,15744.2,33607.6
2026-05-07,3815,88079053.0,251,290880.16,14857.9,31496.9
2026-05-08,2944,92586029.0,223,319407.59,15945.5,33620.6
2026-05-09,1757,44397771.0,67,157133.4,13473.6,30739.8
2026-05-10,2795,68729981.0,140,223956.46,12709.7,27974.6
2026-05-11,4412,108676345.0,110,328871.9,14644.1,29537.9
2026-05-12,4214,88388165.0,151,296920.46,14852.0,31333.3
2026-05-13,3849,98194019.0,216,349893.6,15498.5,31542.9
2026-05-14,3880,99496147.0,204,354775.55,14168.5,32060.9
2026-05-15,3584,98952517.0,191,291027.39,12614.4,29107.4
2026-05-16,2245,49432159.0,118,157767.5,13905.4,31807.0
2026-05-17,1991,55084906.0,114,181395.72,17167.9,39077.0
2026-05-18,3315,90212195.0,201,287460.49,16307.4,33736.4
2026-05-19,4121,107051793.0,168,359028.43,14120.0,29729.6
2026-05-20,6650,104641274.0,345,343075.85,14237.4,32775.6
2026-05-21,3622,79492369.0,239,261794.17,14413.4,34111.3
2026-05-22,4150,106582132.0,221,357933.82,16599.9,34814.7
2026-05-23,2245,49706438.0,115,198826.92,19518.8,41636.3
2026-05-24,4252,50140644.0,122,156245.89,14558.0,32139.2
2026-05-25,2867,74912116.0,130,267381.13,16727.9,35071.7
2026-05-26,4703,129217470.0,309,388913.19,13216.7,30444.1
2026-05-27,4231,119426515.0,287,345542.22,12706.0,29963.9
2026-05-28,3222,77619730.0,103,231617.7,12574.0,29735.6
2026-05-29,2506,77840938.0,160,206381.06,12218.9,29160.3
2026-05-30,1690,59750420.0,113,205892.05,19780.3,40754.1
2026-05-31,8554,95096568.0,97,296969.57,13132.7,35752.1
2026-06-01,9395,137223528.0,176,409775.71,13219.2,32765.0
2026-06-02,4698,136638522.0,251,508512.98,15702.2,33741.7
2026-06-03,3898,109665371.0,162,357388.17,15559.4,33199.9
2026-06-04,4083,137712780.0,210,448790.05,17044.4,37602.2
2026-06-05,3568,105412330.0,267,342332.73,13574.1,34143.4
2026-06-06,2314,74246734.0,177,246091.83,17483.8,40643.1
2026-06-07,3307,120612271.0,163,376692.45,16105.5,35847.7
2026-06-08,4622,164306948.0,207,493773.39,17680.3,38608.8
2026-06-09,4416,143919632.0,180,438914.93,15094.7,34853.6
2026-06-10,5491,196444478.0,216,584756.05,14834.4,35900.5
2026-06-11,10893,188455712.0,250,556091.81,14398.7,33976.1
2026-06-12,5895,170149714.0,160,500564.84,13684.4,34003.2
2026-06-13,3091,117736116.0,120,332425.3,10954.1,28461.2
2026-06-14,3502,137467895.0,178,396705.34,14002.5,33454.3
2026-06-15,6035,186045343.0,333,590391.26,11512.8,31439.1
2026-06-16,6258,204261054.0,258,583066.15,12243.9,33179.1
2026-06-17,4275,157294002.0,157,498228.46,12811.4,35581.4
2026-06-18,3252,131081823.0,192,378516.23,12026.8,31284.6
2026-06-19,3178,112169814.0,184,363800.53,12070.7,30972.5
2026-06-20,1816,86482652.0,36,276731.78,12480.5,31568.6
2026-06-21,2136,80682434.0,20,260728.79,10370.4,30394.9
2026-06-22,2999,97658672.0,78,290596.55,12534.5,30678.1

합계 / 평균,207144,5514101935.0,9185,17491947.57,14275.7,32926.8
집계 기준,day
