
합계,채팅,웹검색,이미지 생성,비디오 생성,Korea-in-Data,Univ-in-Data,Law in Data,음성 에이전트,PPT 생성,오디오,딥 리서치,에이전트
192941.879,158112.213,254.0,6416.534,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,27659.133

모델,입력 크레딧,출력 크레딧,웹 검색 크레딧,입력 토큰,출력 토큰,웹 검색 횟수
Gemma 3,0.231,5.114,0.0,2565,673,0
Sonar Pro,75.198,53.05,28.0,25066,2870,2
Sonar Reasoning Pro,609.62,135.176,56.0,304810,14397,4
Solar Pro 2,0.393,5.145,0.0,2622,966,0
GPT-5 Thinking,560.005,281.67,0.0,732318,26667,0
Claude 4.5 Sonnet,161.738,171.33,0.0,61385,10422,0
Claude 4.5 Haiku,767.395,167.125,0.0,963719,25425,0
Claude 4.5 Opus,1769.259,1425.1,0.0,562675,55204,0
Gemini 3 Flash,124.715,40.359,0.0,243180,3108,0
GPT-5.2 Chat,12.42,15.276,0.0,7097,734,0
Claude 4.6 Opus,763.323,809.825,0.0,133476,31993,0
Claude 4.6 Sonnet,44221.907,13920.285,45.0,15288240,864019,9
Gemini 3.1 Pro,6781.869,3236.664,30.0,3592570,235972,6
GPT-5.3 Chat,10759.69,3220.292,70.0,6160298,122878,14
GPT-5.3 Codex,430.251,271.102,0.0,275349,10793,0
GPT-5.4,4834.414,1673.195,5.0,2090745,96213,1
GPT-5.4 mini,5.042,6.184,0.0,6723,263,0
Claude 4.7 Opus,1862.444,900.8,0.0,566973,34632,0
GPT-5.5,4424.178,3055.97,10.0,974538,96699,2
Super Agent,0.0,0.0,0.0,11638330,525756,15
Gemini 3.5 Flash,1340.748,1179.396,0.0,925608,111044,0
Claude 4.8 Opus,38275.264,9759.05,10.0,9328943,380510,2

이미지 모델,생성 횟수,사용된 크레딧
Nano Banana 2,61,4450.824
GPT Image 2,33,1965.71

PPT 생성,사용된 크레딧
PPT 생성,500.0

에이전트,사용된 크레딧
에이전트,27659.133
