
합계,채팅,웹검색,이미지 생성,비디오 생성,Korea-in-Data,Univ-in-Data,Law in Data,음성 에이전트,PPT 생성,오디오,딥 리서치,에이전트
590391.263,463695.017,1231.0,19297.208,8730.0,349.562,1507.532,0.0,0.0,5105.149,0.0,1830.202,88645.595

모델,입력 크레딧,출력 크레딧,웹 검색 크레딧,입력 토큰,출력 토큰,웹 검색 횟수
Gemma 3,0.231,5.114,0.0,2565,673,0
Gemini 2.5 Pro,1101.306,582.01,0.0,881795,49913,0
Sonar Pro,648.471,580.935,168.0,216157,34729,12
Sonar Reasoning Pro,1045.546,334.36,168.0,522773,34295,12
Solar Pro 2,0.393,5.145,0.0,2622,966,0
GPT-5 nano,0.0,0.0,0.0,6608460,279519,14
GPT-5 Thinking,663.947,465.16,0.0,851260,43016,0
Claude 4.5 Sonnet,433.096,352.605,5.0,153947,19507,1
Claude 4.5 Haiku,3598.272,2200.98,5.0,4762129,402295,1
GPT-5.1 Chat,2715.229,921.2,30.0,2186698,50620,6
Claude 4.5 Opus,4738.808,3176.225,15.0,1222994,121049,3
GPT-5.2,189.256,126.168,0.0,108146,6512,0
Gemini 3 Flash,444.722,447.271,0.0,842511,40927,0
GPT-5.2 Chat,133.166,122.442,5.0,76095,6603,1
Grok 4.1 Fast,5.166,27.565,0.0,25828,5131,0
Claude 4.6 Opus,4205.252,2298.9,20.0,925733,85956,4
Claude 4.6 Sonnet,79080.12,32485.065,80.0,28159916,1984671,16
Gemini 3.1 Pro,15285.775,11362.008,55.0,8259024,826834,11
GPT-5.2 Codex,113.338,161.006,0.0,88726,10429,0
GPT-5.3 Chat,37278.683,16508.384,455.0,22564466,748456,92
Gemini 3.1 Flash Lite,110.572,182.601,15.0,442289,21734,3
GPT-5.3 Codex,430.251,271.102,0.0,275349,10793,0
GPT-5.4,10537.893,5788.265,30.0,4459074,345551,6
GPT-5.4 mini,971.987,366.336,0.0,1303586,32519,0
GPT-5.4 nano,248.783,204.452,0.0,1812157,51562,0
SAIT 3 Pro,0.0,0.0,0.0,10387402,318585,7
Claude 4.7 Opus,15667.043,7197.85,20.0,3687323,270314,4
GPT-5.5,16165.102,10747.43,10.0,3644054,337581,2
Super Agent,0.0,0.0,0.0,35241373,1800088,145
Gemini 3.5 Flash,4824.523,3697.094,50.0,3685668,333566,10
Claude 4.8 Opus,121565.738,40874.675,100.0,25946261,1578335,20

이미지 모델,생성 횟수,사용된 크레딧
Nano Banana Pro,8,1134.75
Grok Imagine,5,125.0
Nano Banana 2,230,15979.967
GPT Image 2,35,2057.49

비디오 모델,생성 횟수,사용된 크레딧
Sora 2,1,405.0
Veo 3.1,2,3210.0
Kling 3.0,1,845.0
Veo 3.1 Lite,14,4270.0

Korea-in-Data,사용된 크레딧
Korea-in-Data,349.562

Univ-in-Data,사용된 크레딧
Univ-in-Data,1507.532

PPT 생성,사용된 크레딧
PPT 생성,5105.149

딥 리서치,사용된 크레딧
딥 리서치,1830.202

에이전트,사용된 크레딧
에이전트,88645.595
