
항목,값
기간,2026-03-01 ~ 2026-06-15
구간,day
카테고리,llm
총 요청 수,132938
총 토큰,2129515147
총 생성 수,
총 크레딧,4341534.517
평균 TTFT(ms),5001.9
평균 완료시간(ms),12637.3

모델,요청 수,토큰,생성 수,크레딧,평균 TTFT(ms),평균 완료시간(ms),호출 비율(%)
GPT-5.3 Chat,132938,2129515147,,4341534.517,5001.9,12637.3,100.0

날짜,모델,요청 수,토큰,생성 수,크레딧,평균 TTFT(ms),평균 완료시간(ms)
2026-03-01,합계,0,0,,0.0,,
2026-03-01,GPT-5.3 Chat,0,0,,0.0,,
2026-03-02,합계,0,0,,0.0,,
2026-03-02,GPT-5.3 Chat,0,0,,0.0,,
2026-03-03,합계,0,0,,0.0,,
2026-03-03,GPT-5.3 Chat,0,0,,0.0,,
2026-03-04,합계,5,16742,,39.184,1996.7,3744.9
2026-03-04,GPT-5.3 Chat,5,16742,,39.184,1996.7,3744.9
2026-03-05,합계,68,543215,,1280.922,3687.1,8128.3
2026-03-05,GPT-5.3 Chat,68,543215,,1280.922,3687.1,8128.3
2026-03-06,합계,187,1305085,,3133.191,3189.8,7685.3
2026-03-06,GPT-5.3 Chat,187,1305085,,3133.191,3189.8,7685.3
2026-03-07,합계,248,2263418,,5341.893,3627.3,9224.3
2026-03-07,GPT-5.3 Chat,248,2263418,,5341.893,3627.3,9224.3
2026-03-08,합계,231,2464363,,5902.063,3281.6,9929.2
2026-03-08,GPT-5.3 Chat,231,2464363,,5902.063,3281.6,9929.2
2026-03-09,합계,794,7716006,,18103.834,3372.5,9215.7
2026-03-09,GPT-5.3 Chat,794,7716006,,18103.834,3372.5,9215.7
2026-03-10,합계,865,8867572,,20274.781,3702.5,9432.2
2026-03-10,GPT-5.3 Chat,865,8867572,,20274.781,3702.5,9432.2
2026-03-11,합계,1398,15148998,,35109.968,2881.4,8484.8
2026-03-11,GPT-5.3 Chat,1398,15148998,,35109.968,2881.4,8484.8
2026-03-12,합계,1068,12484191,,28513.784,3982.8,9993.8
2026-03-12,GPT-5.3 Chat,1068,12484191,,28513.784,3982.8,9993.8
2026-03-13,합계,832,13366346,,29043.831,3577.0,9405.9
2026-03-13,GPT-5.3 Chat,832,13366346,,29043.831,3577.0,9405.9
2026-03-14,합계,586,6842425,,15502.464,3203.9,8616.4
2026-03-14,GPT-5.3 Chat,586,6842425,,15502.464,3203.9,8616.4
2026-03-15,합계,845,11654110,,26737.963,3110.1,10733.5
2026-03-15,GPT-5.3 Chat,845,11654110,,26737.963,3110.1,10733.5
2026-03-16,합계,1451,19606171,,44875.089,3630.6,10305.5
2026-03-16,GPT-5.3 Chat,1451,19606171,,44875.089,3630.6,10305.5
2026-03-17,합계,1642,19236590,,33221.578,4041.8,10096.9
2026-03-17,GPT-5.3 Chat,1642,19236590,,33221.578,4041.8,10096.9
2026-03-18,합계,1459,16399042,,26902.006,6166.4,18661.1
2026-03-18,GPT-5.3 Chat,1459,16399042,,26902.006,6166.4,18661.1
2026-03-19,합계,1507,18861295,,28048.168,3805.6,10098.8
2026-03-19,GPT-5.3 Chat,1507,18861295,,28048.168,3805.6,10098.8
2026-03-20,합계,1003,16626766,,24129.471,3762.7,9427.0
2026-03-20,GPT-5.3 Chat,1003,16626766,,24129.471,3762.7,9427.0
2026-03-21,합계,794,11377618,,15449.092,3483.4,8422.2
2026-03-21,GPT-5.3 Chat,794,11377618,,15449.092,3483.4,8422.2
2026-03-22,합계,997,14113688,,21437.005,3853.7,9601.6
2026-03-22,GPT-5.3 Chat,997,14113688,,21437.005,3853.7,9601.6
2026-03-23,합계,1806,30022645,,41043.374,3808.6,10954.1
2026-03-23,GPT-5.3 Chat,1806,30022645,,41043.374,3808.6,10954.1
2026-03-24,합계,2250,33746834,,49668.746,3817.4,9852.9
2026-03-24,GPT-5.3 Chat,2250,33746834,,49668.746,3817.4,9852.9
2026-03-25,합계,2142,32032160,,48488.666,4175.8,10427.7
2026-03-25,GPT-5.3 Chat,2142,32032160,,48488.666,4175.8,10427.7
