
[사용자 활동]
날짜,DAU (활성 사용자),방문자 수
2026-03-01,18,38
2026-03-02,22,71
2026-03-03,39,102
2026-03-04,36,115
2026-03-05,45,130
2026-03-06,40,97
2026-03-07,32,98
2026-03-08,38,98
2026-03-09,72,183
2026-03-10,75,234
2026-03-11,84,232
2026-03-12,69,224
2026-03-13,57,183
2026-03-14,50,154
2026-03-15,105,219
2026-03-16,121,285
2026-03-17,111,295
2026-03-18,133,291
2026-03-19,107,258
2026-03-20,78,212
2026-03-21,80,203
2026-03-22,101,223
2026-03-23,149,320
2026-03-24,157,351
2026-03-25,144,323
2026-03-26,113,274
2026-03-27,93,240
2026-03-28,106,219
2026-03-29,159,319
2026-03-30,171,366
2026-03-31,194,389
2026-04-01,155,338
2026-04-02,140,339
2026-04-03,108,259
2026-04-04,126,243
2026-04-05,214,346
2026-04-06,245,406
2026-04-07,249,467
2026-04-08,253,451
2026-04-09,217,422
2026-04-10,183,368
2026-04-11,163,323
2026-04-12,260,451
2026-04-13,302,534
2026-04-14,267,513
2026-04-15,285,505
2026-04-16,244,456
2026-04-17,247,449
2026-04-18,210,419
2026-04-19,282,498
2026-04-20,281,524
2026-04-21,256,486
2026-04-22,242,437
2026-04-23,199,363
2026-04-24,126,279
2026-04-25,121,266
2026-04-26,217,370
2026-04-27,156,322
2026-04-28,165,293
2026-04-29,125,258
2026-04-30,,
2026-05-01,91,200
2026-05-02,122,208
2026-05-03,207,323
2026-05-04,385,555
2026-05-05,193,294
2026-05-06,208,348
2026-05-07,162,293
2026-05-08,296,476
2026-05-09,113,204
2026-05-10,664,951
2026-05-11,686,1020
2026-05-12,212,366
2026-05-13,211,380
2026-05-14,187,352
2026-05-15,314,527
2026-05-16,261,431
2026-05-17,447,676
2026-05-18,672,980
2026-05-19,201,353
2026-05-20,228,381
2026-05-21,482,738
2026-05-22,147,261
2026-05-23,268,428
2026-05-24,381,596
2026-05-25,244,396
2026-05-26,653,986
2026-05-27,145,260
2026-05-28,407,615
2026-05-29,280,442
2026-05-30,369,594
2026-05-31,630,954

요약
최근 DAU,630
평균 DAU,206
집계 기준,day

[모델 사용량]
날짜,요청 수,토큰 수,생성 수,크레딧,평균 TTFT (ms),평균 완료시간 (ms)
2026-03-01,452,6147643.0,61,14205.73,4921.3,14504.4
2026-03-02,438,6347061.0,7,13247.75,7348.6,16915.5
2026-03-03,940,10716574.0,10,24718.33,6619.5,16965.1
2026-03-04,1133,13486985.0,29,30640.07,6084.1,16436.8
2026-03-05,1707,19531443.0,91,51268.95,6437.2,15450.3
2026-03-06,1427,15682179.0,66,45111.53,6089.8,13360.4
2026-03-07,767,10121718.0,15,29548.59,6749.0,16116.4
2026-03-08,729,8980616.0,38,26850.89,7010.0,15981.8
2026-03-09,2212,28772010.0,33,74147.65,6935.4,14510.5
2026-03-10,2361,34673541.0,49,83738.74,6761.0,15019.1
2026-03-11,3399,46457103.0,114,141539.48,7125.2,15062.8
2026-03-12,2556,42179379.0,85,123658.57,7605.1,18784.0
2026-03-13,2140,34653191.0,93,96027.67,7637.3,17373.0
2026-03-14,1365,23251865.0,64,70353.2,7894.2,17891.1
2026-03-15,1934,26516385.0,56,84280.18,6875.7,19264.1
2026-03-16,2972,48059628.0,77,139374.85,9220.6,18521.3
2026-03-17,3554,52582624.0,97,120045.47,9565.1,19210.7
2026-03-18,3223,46999932.0,60,105549.57,10500.5,25275.9
2026-03-19,3557,60310570.0,159,133256.22,8790.7,18770.4
2026-03-20,2384,52018617.0,104,112555.22,11039.7,20773.4
2026-03-21,1633,27060620.0,71,60253.05,8119.8,16549.9
2026-03-22,2018,35256022.0,69,64105.85,6969.0,16028.1
2026-03-23,3929,75909655.0,179,152458.87,9057.6,19665.5
2026-03-24,4300,94847250.0,158,173647.01,8150.0,18436.5
